Node ID,Network (1) X,Network (1) Y,Network (1) Z,Louvain Community,Degree,Weighted Degree,Community Leaders Filter,Betweenness Centrality,Closeness Centrality,Eccentricity,Clustering Coefficient,PageRank
RGS7BP,0.087600149214267731,-9.207977294921875,0.12980043888092041,Community 51,8,8,0,0.052106723189353943,0.76722496747970581,11,0,0.02644662318430837
FAM189A2,-1.0575212240219116,-7.9122886657714844,-2.8906424045562744,Community 23,28,30,0,0.24041125178337097,0.90521830320358276,10,0,0.12248649830590956
MAGED4B,-1.8458355665206909,-7.8598017692565918,-1.5587866306304932,Community 5,2,2,0,0.0057152747176587582,0.76299077272415161,10.5,0,0.00827925670420687
TPTE,4.8078927993774414,3.6009564399719238,5.5589280128479,Community 30,2,2,0,0,0.80455738306045532,10,0,0.0087683702021349
TNNC1,-0.29036253690719604,-5.5660004615783691,2.290189266204834,Community 4,12,13,0,0.0974126085639,0.87951254844665527,9.5,0,0.041607371044103982
NPDC1,-0.51505988836288452,-6.242027759552002,2.2940323352813721,Community 4,38,41,0,0.26516091823577881,0.90304559469223022,9,0,0.14500904558051839
C21orf91,0.0637323334813118,1.2474421262741089,-0.4133446216583252,Community 27,23,24,0,0.12385959178209305,0.898309051990509,10.5,0,0.077855385569838065
NRG4,1.9454233646392822,2.9171226024627686,-1.7891645431518555,Community 30,2,2,0,0.0057388739660382271,0.75275516510009766,11.5,0,0.0075323244139806067
LARP1B,-0.68909651041030884,8.6020097732543945,-0.82568222284317017,Community 36,2,2,0,0.0035338490270078182,0.58664143085479736,13,0,0.011466858344272442
PSEN1,-0.77544295787811279,7.3878035545349121,-0.85434788465499878,Community 36,2,2,0,0.0070652775466442108,0.68949979543685913,12,0,0.0097733259846019063
FAM161B,0.37508216500282288,2.5757491588592529,-1.4784302711486816,Community 27,7,7,0,0.026336252689361572,0.84047460556030273,10.5,0,0.022352295557717651
MAN1B1-DT,3.06241774559021,1.2945247888565063,-2.301527738571167,Community 30,4,4,0,0.023682840168476105,0.80199885368347168,11,0,0.013135747134393463
FTSJ3,2.5233852863311768,-0.013898720964789391,0.12079291045665741,Community 43,10,10,0,0.024831945076584816,0.75315040349960327,12,0,0.034846137178270745
FGFR4,2.7744870185852051,-0.092730596661567688,0.24044285714626312,Community 43,1,1,0,0,0.632022500038147,13,0,0.0046834205552633472
HLA-A,-0.78243643045425415,-7.86655855178833,0.49487456679344177,Community 8,12,12,0,0.035596873611211777,0.77047032117843628,11,0,0.038777046191933569
KCNE3,-0.7391587495803833,-9.00854778289795,0.59769123792648315,Community 8,2,2,0,0.00037758934195153415,0.68873417377471924,11,0,0.0073395394740060436
HLA-DRB1,-1.618880033493042,-9.2579555511474609,-0.69312316179275513,Community 5,12,13,0,0.031981334090232849,0.743632972240448,11.5,0,0.042868419019354134
SLC41A2,-0.92011696100234985,-9.1621112823486328,0.702847957611084,Community 4,3,3,0,0.0020652443636208773,0.7051774263381958,10.5,0,0.010348565281871171
LDHB,9.5208749771118164,-11.505341529846191,1.7639154195785522,Community 15,2,2,0,0.0035338490270078182,0.45791929960250854,14,0,0.012470490121228939
TGFB3,9.3002223968505859,-11.290169715881348,1.6878588199615479,Community 15,2,2,0,0.0070652775466442108,0.51826930046081543,13,0,0.011299668226521413
MAST1,4.4971156120300293,2.2935640811920166,8.2395925521850586,Community 0,1,1,0,0,0.77591454982757568,10,0,0.0055227123077860214
SRFBP1,-2.1613333225250244,-1.651265025138855,-9.0905265808105469,Community 72,1,1,0,0,0.57379305362701416,13.5,0,0.0056017489973535055
LOXL4,-4.2728061676025391,-7.89348840713501,-4.1877689361572266,Community 13,5,5,0,0.011172772385179996,0.65021532773971558,12.5,0,0.023369462660284557
ANKLE2,-4.0929732322692871,-6.0403399467468262,-2.4198782444000244,Community 13,2,2,0,0.00464120227843523,0.683096706867218,11.5,0,0.0087727500479636566
